Year;Road Name;From Street;To Street;length_(m);PCI Rating;Geom;geo_point_2d
2020;28TH AV;KNIGHT ST;DUMFRIES ST;202;VERY GOOD;"{""coordinates"": [[-123.07624759245833, 49.24540489954356], [-123.07557189684123, 49.245397572533406], [-123.07448034252829, 49.245386977090625], [-123.0741455785773, 49.24538362761246], [-123.07347252588633, 49.24537736335702]], ""type"": ""LineString""}";49.24539075878665, -123.07486006293155
2020;19TH AV;QUEBEC ST;MAIN ST;140;VERY GOOD;"{""coordinates"": [[-123.10281891206009, 49.25373057886672], [-123.10148024151417, 49.25370851249962], [-123.10089566180679, 49.2536988625869]], ""type"": ""LineString""}";49.253714725535986, -123.10185728685413
2020;1ST AV;FIR ST;CREEKSIDE DRIVE / ISLAND PARK WALK;107;FAIR;"{""coordinates"": [[-123.14140074160984, 49.27081103635607], [-123.14139675914835, 49.270813899903075], [-123.1412713560094, 49.27093730457644], [-123.14120063199861, 49.270991665340986], [-123.14111662841277, 49.271034418688494], [-123.1402332622188, 49.27137199455617]], ""type"": ""LineString""}";49.27112780519112, -123.14083918636577
2020;24TH AV;DUNBAR ST;COLLINGWOOD ST;240;FAIR;"{""coordinates"": [[-123.18516894063632, 49.251056331138], [-123.18453359939144, 49.25105332681031], [-123.18187590059154, 49.25104259835139], [-123.1818711391918, 49.25104257256448]], ""type"": ""LineString""}";49.251049277672365, -123.18352004067631
2020;28TH AV;PRINCE EDWARD ST;ST. GEORGE ST;198;POOR;"{""coordinates"": [[-123.09685622754368, 49.24565532858663], [-123.09414155425469, 49.24562363806523], [-123.0941362025493, 49.24562357496182]], ""type"": ""LineString""}";49.24563945208793, -123.09549621504281
2020;27TH AV;BALACLAVA ST;CARNARVON ST;201;VERY GOOD;"{""coordinates"": [[-123.17570343351518, 49.248031136833184], [-123.17570268465991, 49.24803113437398], [-123.17294168585546, 49.24802044385979]], ""type"": ""LineString""}";49.248025790566594, -123.17432255968455
2020;12TH AV;MACDONALD ST;KITSILANO DIVERSION / STEPHENS ST;141;VERY GOOD;"{""coordinates"": [[-123.16827202489276, 49.26137567088661], [-123.16633879928418, 49.26134569441955], [-123.16633483844682, 49.26134493103108]], ""type"": ""LineString""}";49.261360650653884, -123.16730339554022
2020;AUSTREY AV;SPENCER ST;MCHARDY ST;171;VERY POOR;"{""coordinates"": [[-123.03781659632347, 49.23905747222358], [-123.03581604369509, 49.23825400340802], [-123.03581413086539, 49.23825323130959]], ""type"": ""LineString""}";49.23865535342686, -123.03681536292596
2020;ALDER ST;11TH AV;10TH AV;102;VERY GOOD;"{""coordinates"": [[-123.1314275566739, 49.26159931576477], [-123.13141055659808, 49.262056871059286], [-123.13139347391062, 49.26251655737372]], ""type"": ""LineString""}";49.262057936601046, -123.13141051614794
2020;62ND AV;GRANVILLE ST;FRENCH ST;96;GOOD;"{""coordinates"": [[-123.14030103778256, 49.214991954152374], [-123.14014574540379, 49.215037592238666], [-123.1396018404892, 49.21502873655012], [-123.13899807720308, 49.21501974705224]], ""type"": ""LineString""}";49.21502677763681, -123.13965242945551
